Nombre;Equipo;Tiros;Tiros P.;Asis.;Reg. E.;Reg. F.;Goles;G. Ar.;G. F. Ar.;G. Iz.;G. Der.;G. Pen.;G. Cab.;G. B.P.;G.P.P.
O. Duarte;ESP;2;0;0;1;0;0;0;0;0;0;0;0;0;0
Oblak ;ATM;0;0;0;3;0;0;0;0;0;0;0;0;0;0
Oier;LEV;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Olunga;GIR;12;6;1;3;3;3;3;0;2;1;0;0;0;0
Omar R.;LEG;6;2;1;33;26;0;0;0;0;0;0;0;0;0
Orellana;EIB;19;5;2;33;60;3;3;0;1;2;0;0;0;0
P. Hernández ;CEL;14;3;2;18;9;3;3;0;3;0;0;0;0;0
P. León;EIB;17;8;3;18;14;0;0;0;0;0;0;0;0;0
P. Mosquera;DEP;9;3;2;9;4;0;0;0;0;0;0;0;0;0
Pablo Fornals;VIL;33;14;12;26;26;3;2;1;1;1;0;1;0;0
Pablo Maffeo;GIR;20;7;1;33;28;0;0;0;0;0;0;0;0;0
Pablo Sarabia;SEV;42;27;5;21;24;6;5;1;3;3;1;0;0;0
Pacheco;GET;0;0;0;4;2;0;0;0;0;0;0;0;0;0
Pacheco;ALA;0;0;0;1;0;0;0;0;0;0;0;0;0;0
