"","Nombre","Equipo","Minutos","T.Amarillas","Goles","Fueras.De.Juego","Faltas.Recibidas","Faltas.Cometidas","Centros","Corners","Entradas","Duelos","Duelos.Cuerpo","Duelos.Aire","Pases","Pases.Cortos","Pases.Largos","Pases.Hueco","Tiros","Tiros.Puerta","Asistencias","Regates.Exito","Regates.Fracaso","Recuperaciones","Entradas.Exito","Entradas.Fracaso","Duelos.Cuerpo.Exito","Duelos.Cuerpo.Fracaso","Duelos.Aire.Exito","Duelos.Aire.Fracaso","Precision.Tiros","Regates","Precision.Regates","Importante"
"146","Eraso","LEG",2540,4,4,6,25,35,37,47,32,252,191,61,786,728,55,3,24,13,3,10,12,125,15,17,66,125,13,48,0.541666666666667,22,0.454545454545455,1
"147","Erick Cabaco","LEV",1039,5,0,0,12,13,0,0,25,93,58,35,324,241,83,0,2,2,0,2,2,45,13,12,38,20,20,15,1,4,0.5,0
"149","Escalante","EIB",1561,3,1,0,16,25,10,0,59,238,152,86,656,574,81,1,17,5,0,15,6,110,35,24,89,63,47,39,0.294117647058824,21,0.714285714285714,0
"150","Escudero","SEV",2332,10,0,1,38,34,40,1,78,326,230,96,1323,1184,137,2,13,4,2,26,12,156,50,28,140,90,58,38,0.307692307692308,38,0.684210526315789,1
"151","Etebo","LPA",1215,3,0,1,46,21,3,2,24,188,160,28,628,561,65,2,13,3,1,25,6,90,17,7,92,68,14,14,0.230769230769231,31,0.806451612903226,0
"153","Ezequiel Garay","VAL",2030,5,0,1,15,22,3,0,18,125,55,70,1093,945,147,1,5,1,0,0,0,101,12,6,31,24,45,25,0.2,0,0,1
"154","Fabian Schär","DEP",2220,10,2,3,22,39,1,0,59,252,169,83,944,704,236,4,17,6,2,14,6,131,45,14,93,76,45,38,0.352941176470588,20,0.7,1
"155","Fabián","BET",2662,3,3,2,35,27,14,2,83,373,330,43,2083,1929,148,6,27,17,6,69,22,252,53,30,186,144,26,17,0.62962962962963,91,0.758241758241758,1
"156","Facundo Roncaglia","CEL",1492,2,0,1,8,15,6,0,35,130,88,42,1070,900,168,2,5,1,0,9,0,112,25,10,52,36,23,19,0.2,9,1,0
"158","Fajr ","GET",2383,6,1,1,37,46,85,55,61,287,235,52,933,697,233,3,17,10,4,19,8,178,44,17,114,121,25,27,0.588235294117647,27,0.703703703703704,1
