Nombre;Equipo;Cen.;Cor.;Ent.;Due.;D.C.;D.A.;Pas.;P.C.;P.L.;P.H.;GxT;GxT F.A.;GxT D.A.;GxT Iz.;GxT Der.;GxT Cab.;GxT B.P.
Imoh Ezekiel;LPA;11;0;8;62;45;17;110;108;2;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Iniesta;BAR;23;1;28;220;211;9;1.520;1.375;131;14;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Inui;EIB;58;12;39;339;294;45;841;779;58;4;2,7;0,0;0,0;0,0;0,0;0,0;0,0
Iraizoz;GIR;0;0;1;3;2;1;201;33;168;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Isco;RMA;71;51;22;276;257;19;1.521;1.424;87;10;3,6;0,0;0,0;0,0;0,0;0,0;0,0
Iturra;MGA;8;1;70;260;215;45;587;504;82;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Iturraspe;ATH;34;41;42;203;130;73;1.190;1.026;161;3;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ivi;LEV;73;34;49;301;270;31;562;473;84;5;2,2;0,0;0,0;0,0;0,0;0,0;0,0
Iván Alejo;EIB;109;1;20;212;185;27;218;205;12;1;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Iván López;LEV;8;0;1;6;5;1;70;57;13;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Iñigo Lekue;ATH;72;0;71;276;218;58;949;833;116;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
J. Costa;VIL;67;1;69;298;225;73;1.300;1.154;145;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
J. Naranjo;LEG;6;9;17;84;68;16;140;125;15;0;0,5;0,0;0,0;0,0;0,0;0,0;0,0
J. Ontiveros;MGA;19;4;10;89;75;14;146;134;12;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Jaime Sierra;LEG;0;0;1;3;3;0;5;5;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Jairo;LPA;8;0;9;78;62;16;139;126;11;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Jason;LEV;51;14;32;268;221;47;501;472;24;5;0,5;0,0;0,0;0,0;0,0;0,0;0,0
Jasper Cillessen;BAR;0;0;0;0;0;0;26;17;9;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Jaume;VAL;0;0;0;2;1;1;109;53;56;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Javi Castellano;LPA;3;0;47;176;117;59;1.078;1.010;68;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Javi Fuego;VIL;1;0;53;239;168;71;950;857;92;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Javi García;BET;0;0;34;241;161;80;1.676;1.574;102;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Javi López;ESP;28;0;47;154;121;33;440;384;56;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
