Nombre;Equipo;Am.;Roj.;Dob.;F. J.;Faltas R.;Faltas C.;Pen. R.;Pen. C.;Manos;FxT
Lucas Vázquez;RMA;3;0;0;12;42;33;2;0;2;7,0
Luis H. ;MGA;7;0;0;3;10;42;0;3;2;12,0
Luis Muriel;SEV;4;0;0;31;13;26;0;1;2;4,0
Luis Suárez;BAR;8;0;0;56;50;46;1;0;2;11,0
Luisinho;DEP;11;0;0;2;49;43;0;0;1;20,0
Léo Baptistão;ESP;4;0;0;14;49;48;0;0;5;8,0
M. Guerrero;LEG;3;0;0;13;23;36;0;0;4;5,0
M. Gómez;CEL;12;0;0;32;92;54;0;0;10;20,0
M. M. Dos Santos;LEG;3;0;0;2;3;9;0;0;0;3,0
M. Navarro;ESP;3;0;0;0;8;12;0;1;0;3,0
M. Trigueros;VIL;9;0;1;1;43;38;0;0;0;20,0
Maksím Kóval;DEP;0;1;0;0;0;1;0;0;0;1,0
Mantovani;LEG;3;0;0;0;15;17;0;1;1;6,0
Manu García;ALA;9;0;0;5;72;65;0;0;3;21,0
Marc Roca;ESP;0;0;0;0;0;6;0;0;0;0,0
Marcelo;RMA;3;1;0;3;41;26;0;0;2;9,0
Marco Asensio;RMA;2;0;0;2;27;9;0;0;0;1,0
Marcos Llorente;RMA;1;0;0;0;4;6;0;0;0;1,0
Mario Gaspar;VIL;6;0;0;3;15;44;0;0;0;7,0
Markel Bergara;GET;5;0;0;2;18;34;0;0;1;14,0
Mathieu Flamini;GET;2;0;0;0;1;15;0;0;0;7,0
Mathías Olivera;GET;0;0;0;0;0;2;0;0;0;0,0
Matías Aguirregaray;LPA;3;0;0;1;21;19;0;0;3;5,0
Mauro Arambarri;GET;8;0;1;0;42;50;0;0;3;18,0
Maxime Lestienne;MGA;1;0;0;1;3;3;0;0;0;1,0
Mazan;CEL;0;0;0;0;0;2;0;0;0;0,0
Melendo;ESP;1;0;0;0;21;6;0;0;1;1,0
Messi;BAR;3;0;0;13;80;17;0;0;1;5,0
Michel Macedo;LPA;4;0;1;6;43;38;0;0;3;10,0
Miguel Layún;SEV;4;0;0;0;9;12;0;1;1;5,0
Miguel Torres;MGA;3;0;0;2;0;8;0;0;0;5,0
Miguel Ángel Rubio;GET;0;0;0;0;1;1;0;0;0;0,0
Mikel Oyarzabal;RSO;4;0;0;17;46;28;1;0;2;4,0
Mikel Rico;ATH;2;0;0;0;23;19;0;0;0;4,0
Miquel;MGA;5;1;0;0;14;41;0;1;0;15,0
Modrić;RMA;3;0;0;0;31;20;1;0;0;3,0
Mojica;GIR;6;0;0;6;47;38;0;0;3;11,0
Molinero;GET;5;0;0;0;6;21;0;1;0;11,0
Momo;LPA;3;0;0;3;21;5;0;0;0;3,0
Montoya;VAL;7;0;0;1;28;38;0;2;0;11,0
Morales;LEV;6;0;1;9;43;28;2;0;2;12,0
Moyà;RSO;0;0;0;0;0;1;0;1;0;0,0
Mujaid Sadick;DEP;0;0;0;0;0;0;0;0;0;0,0
Muniain ;ATH;1;0;0;1;29;5;1;0;0;1,0
